"Name","Brief Description","Proximity","Street Address","City","State","Zip Code","Phone Number","Web Site","Hours of Operation"
"Greenpoint Reformed Church Food Pantry","Food pantry.","","136 Milton Street","BROOKLYN","NY","11222","(718) 383-5941","","Thu: 8:00 AM - 11:00 AM"
"HO Scott Education and Community Center, Inc","Soup kitchen.","","15-10 Redfern Avenue ","FAR ROCKAWAY","NY","11691","(718) 327-2208","","Tue: 12:00 PM - 2:00 PM"
"Hanson Place Seventh Day Adventist Church","Food pantry.","","150 South Portland Avenue","BROOKLYN","NY","11217","(718) 399-7513","","Thu: 3:00 PM - 5:00 PM"
"Harlem Community Nutritional","Food pantry.","","132 West 125th Street","NEW YORK","NY","10027","(212) 666-7538","","Mon - Thu: 10:00 AM - 11:30 AM"
"Harlem Dowling West Side Center Specialized Service","Food pantry.","","2090 Adam Clayton Powell Jr.","NEW YORK","NY","10027","(212) 749-3656","","Tue: 12:00 PM - 2:00 PM; Fri: 2:00 PM - 4:00 PM ( Only 1st, 2nd, 3rd Friday of each month)"
"Harvest Of Souls Holy Ghost Food Pantry","Non-profit food pantry.","","13-15 East 125th Street","NEW YORK","NY","10035","(212) 369-6354","","Fri: 10:00 AM - 12:00 PM"
"Heavenly Vision Christian Center Food Provider","Food pantry.","","2868 Jerome Avenue","BRONX","NY","10468","(718) 220-8124","","Tue: 9:00 AM - 11:00 AM"
"Hebron Seventh Day Adventist Church","Food pantry. This location is open on the 1st and 3rd Wednesday of each month.","","1256 Dean Street","BROOKLYN","NY","11216","(718) 778-6454","","Wed: 9:00 AM - 10:30 AM"
"Hebron Seventh Day Adventist Church","Food pantry.","","1256 Dean Street","BROOKLYN","NY","11216","(718) 778-6454","","Sun: 12:30 PM - 2:00 PM"
"Hollis Avenue Congregational Church","Food pantry. ","","211-04 Hollis Avenue","QUEENS VILLAGE","NY","11429","(718) 468-1498","","Tue: 11:00 AM - 1:00 PM"
"Hollis Presbyterian Chruch","Food pantry.","","100-50 196th Street","HOLLIS","NY","11423","(718) 776-4646","","Mon: 11:00 AM - 12:00 PM"
"Holy Apostles Soup Kitchen","Soup kitchen.","","296 Ninth Avenue","NEW YORK","NY","10001","(212) 924-0167","","Mon - Fri: 10:30 AM - 12:30 PM"
"Holy Cross Church","Food pantry. ","","600 Soundview Avenue","BRONX","NY","10473","(718) 893-5550","","Thu: 8:30 AM - 9:30 AM"
"Holy Cross Food Pantry - Brooklyn","Food pantry.","","2530 Church Avenue","BROOKLYN","NY","11226","(718) 469-5900","","Tue, Thu: 2:00 PM - 2:30 PM"
"Holy Ghost Pentecostal Church","Soup kitchen.","","13-15 East 125 Street ","NEW YORK","NY","10035","(212) 369-6354","","Wed: 12:00 PM – 1:30 PM"
"Holy Ghost Upper Room Filling Station Ministry","Food pantry.  ","","146-17 133rd Avenue","JAMAICA","NY","11436","(718) 529-2060","","Sat: 10:00 AM - 11:00 AM"
"Holy Innocents","Food pantry.","","279 East 17th Street","BROOKLYN","NY","11226","(718) 469-9500","","Wed: 9:30 AM - 11:00 AM"
"Holy Tabernacle Church","Soup kitchen.","","3780 Third Avenue","BRONX","NY","10456","(718) 293-9862","","Tue: 4:00 PM - 5:30 PM"
"Holy Tabernacle Church Food Provider I","Food pantry.","","3780 Third Avenue","BRONX","NY","10456","(718) 293-9862","","Tue: 4:30 PM - 5:30 PM"
"Holy Temple Church","Food pantry.","","136-25 Springfield Boulevard","SPRINGFIELD GARDENS","NY","11413","(347) 686-0501","","Sat: 11:00 AM - 12:30 PM"
"Hope Center Development Corporation","Soup kitchen.  This location is open on the 1st, 2nd, 3rd, and 4th Saturdays of each month.
","","409 East 95th Street","BROOKLYN","NY","11212","(718) 385-1043","","Sat: 11:00 AM - 1:30 PM"
"Hope Center Development Corporation","Food pantry. This location is open on the 1st, 2nd, 3rd, and 4th Saturdays of each month.
","","414 East 95th Street","BROOKLYN","NY","11212","(718) 385-1043","","Sat: 11:00 AM - 1:30 PM"
"Hope City Empowerment Center ","Soup kitchen. ","","650-656 Washington Avenue","BROOKLYN","NY","11238","(718) 857-5698","","Tue, Thu, Fri: 12:30 PM - 1:30 PM; Sat: 9:00 AM - 11:00 AM"
"Hope for Our Neighbors in Need Community Meal","Soup kitchen.","","201 west 13 Street","NEW YORK","NY","10011","(212) 243-5470","","Sat: 12:00 PM - 1:30 PM"
"Horeb Seventh Day Adventist Community Services","Food pantry. This location will be closed on Tuesday, April 26.","","520 Kingston Avenue","BROOKLYN","NY","11225","(718) 778-7373","","Tue: 10:00 AM - 11:00 AM"
"Hot Lunch for the Needy - Rush Temple Food Provider","Soup kitchen. ","","119-48 Sutphin Boulevard","JAMAICA","NY","11434","(718) 529-5719","","Wed, Fri: 12:30 PM - 1:30 PM"
"Iglesia Alianza Misionera Ebenezer","Food pantry.","","43-02 38th Street","LONG ISLAND CITY","NY","11101","(718) 729-1944","","Sat: 11:00 AM - 1:00 PM"
"Inspirational Gospel Assembly Food Pantry","Food pantry.","","1211 Brook Avenue","BRONX","NY","10456","(347) 758-6447","","Sat: 11:00 AM - 1:00 PM"
"International Pentecostal City Mission","Food pantry.","","9202-14 Church Avenue","BROOKLYN","NY","11236","(718) 342-9005","","Sat: 2:00 PM - 4:00 PM"
"Iris House","Food pantry offering an HIV/AIDS diet. 
","","2271 2nd Avenue","NEW YORK","NY","10035","(212) 423-9049","","Tue, Thu: 2:00 PM - 4:00 PM"
"Isaiah's Temple Of Mount Hope Food Provider II","Soup kitchen. ","","862 Glenmore Avenue","BROOKLYN","NY","11208","(718) 277-4038","","Tue, Thu: 2:00 PM - 4:00 PM"
"JUSTICE Organization","Food pantry.","","87-43 164th Street ","JAMAICA","NY","11432","(718) 772-7951","","Mon: 9:00 AM - 11:00 AM"
"JUSTICE Organization - Jesus is Justice Mission","Food pantry.","","219 Beach 28th Street","FAR ROCKAWAY","NY","11691","(718) 772-7951","","Wed: 12:00 PM - 2:00 PM"
"Jackson Heights SDA Food Pantry","Food pantry.","","72-25 Woodside Avenue","WOODSIDE","NY","11377","(718) 424-4544","","Wed: 4:00 PM - 5:30 PM"
"Jackson Heights SDA Soup Kitchen","Soup kitchen.","","72-25 Woodside Avenue","WOODSIDE","NY","11377","(718) 424-4544","","Sun: 12:30 PM - 2:00 PM"
"Jamaica Hispanic Seventh Day Adventist Church","Food pantry.","","88-28 161st Street","JAMAICA","NY","11432","(718) 736-8533","","Sun: 9:00 AM - 10:00 AM"
"Jamaica Seventh Day Adventist Church","Food pantry.","","88-28 163rd Street","JAMAICA","NY","11432","(718) 658-9784","","Sun: 9:30 AM - 11:30 AM"
"Jan Hus Presbyterian Church - Homeless Outreach","Soup kitchen.","","351 East 74th Street","NEW YORK","NY","10021","(212) 288-6743","","Tue: 5:45 PM - 7:00 PM"
"Jan Hus Presbyterian Church - Homeless Outreach","Food pantry.","","351 East 74th Street","NEW YORK","NY","10021","(212) 288-6743","","Mon - Fri: 10:00 AM - 4:00 PM"
"Jesus Is the Answer - J.I.T.A. Community Outreach","Food pantry.","","89-17 139 Street","QUEENS","NY","11435","(718) 908-6303","","Tue: 3:00 PM – 5:00 PM; Sat: 3:00 PM – 5:00 PM"
"Jewish Community Council of Canarsie","Food pantry with kosher food.","","1170 Pennsylvania Avenue","BROOKLYN","NY","11239","(718) 922-2474","","Wed: 9:00 AM - 11:00 AM"
"Jewish Community Council of Pelham Parkway","Food pantry with kosher food.","","2157 Holland Avenue","BRONX","NY","10462","(718) 792-4744","","Tue, Wed, Thu:  12:00 PM - 4:00 PM"
"Jewish Community Council of Washington Heights","Food pantry with kosher food.","","121 Bennett Avenue","NEW YORK","NY","10033","(212) 568-5450","","Tue, Wed, Thu: 11:00 AM - 1:00 PM"
"Jewish Institute of Queens","Food pantry with kosher food.","","60-05 Woodhaven Boulevard","ELMHURST","NY","11373","(718) 426-9369","","Fri: 10:30 AM - 12:00 PM"
"Jewish Services Coalition","Food pantry with kosher food.","","1525 Central Avenue","FAR ROCKAWAY","NY","11691","(718) 327-6060","","Mon, Wed: 9:30 AM - 1:30 PM "
"Kehilat Sepahrdim of Ahvat Achim","Food pantry with kosher food.","","150-62 78th Road","FLUSHING","NY","11367","(718) 591-9574","","Sun: 10:00 AM - 4:00 PM; Mon, Wed: 10:00 AM - 2:00 PM"
"King Emmanuel Missionary Baptist Church","Food pantry.","","207A Bainbridge Street","BROOKLYN","NY","11233","(718) 773-1650","","Fri: 10:30 AM - 12:00 PM; Sat: 9:00 AM - 10:30 AM"
"Kingsborough Community College","Food pantry. ","","2001 Oriental Boulevard","BROOKLYN","NY","11235","(718) 368-4660","","Wed: 5:00 PM - 6:00 PM; Sun: 12:00 PM - 1:00 PM except for the fifth Wednesday and Sunday of each month.	
"
"La Jornada","Food pantry.","","135-32 38th Avenue","FLUSHING","NY","11354","(917) 880-5693","","Fri: 4:00 PM – 6:00 PM"
"Las Maravillas del Exodo","Food pantry.","","302 Elton Street","BROOKLYN","NY","11208","(718) 235-4801","","Wed: 11:00 AM - 12:00 PM"
"Lefrak City Jewish Center, Inc","Food pantry with kosher food.","","98-15 Horace Harding Expressway","CORONA","NY","11368","(718) 271-9621","","Tue: 10:00 AM - 12:00 PM"
"Leviticus Church","Food pantry.","","114-12 Van Wyck Expressway","SOUTH OZONE PARK","NY","11420","(718) 322-1095","","Wed: 1:00 PM - 2:00 PM; Sat: 12:00 PM - 1:00 PM"
"Linden Boulevard Church Community Services","Food pantry.","","228-20 137th Avenue","SPRINGFIELD GARDENS","NY","11413","(718) 527-4072","","Sat: 10:00 AM - 12:00 PM"
"Little Sisters of the Assumption","Food pantry.","","333 East 115th Street","NEW YORK","NY","10029","(646) 672-5200","","Wed: 1:30 PM - 3:30 PM"
"Los Redimidos en la Sangre de Cristo","Food pantry.","","609 East 182nd Street","BRONX","NY","10457","(646) 408-3909","","Wed: 1:00 PM - 2:00 PM"
"Lost Sheep Christian Church - Feeding My Sheep Community","Food pantry.","","1104 Elder Avenue","BRONX","NY","10472","(347) 235-3725","","Sat: 2:00 PM - 4:00 PM"
"Love Fellowship Tabernacle, Inc","Food pantry.","","464 Liberty Avenue","BROOKLYN","NY","11207","(718) 235-2266","","Tue: 2:00 PM - 5:00 PM"
"Loyal Baptist Church","Soup kitchen.","","881 East 167th Street","BRONX","NY","10459","(718) 328-3512","","Thu: 11:00 AM - 3:00 PM"
"Macedonia Church Assembly of God Bread of Life","Food pantry.","","340 East 106th Street","NEW YORK","NY","10029","(212) 410-3412","","Fri: 9:00 AM - 10:30 AM"
"Manna Of Life Ministries Inc","Soup kitchen.","","578 East 166th street","BRONX","NY","10456","(347) 577-5788","","Sat: 11:00 AM - 1:00 PM"
"Mesivta of Staten Island","Food pantry.","","1870 Drumgoole Road East","STATEN ISLAND","NY","10309","(718) 356-5412","","Mon: 2:30 PM - 3:30 PM"
"Metropolitan Community Church of NY","Food pantry.","","447 West 36th Street","NEW YORK","NY","10018","(212) 629-7400","","Thu: 9:00 AM - 10:00 AM"
"Metropolitan Council on Jewish Poverty","Food pantry with kosher food.","","5361 Preston Court","BROOKLYN","NY","11234","(718) 763-5318","","Tue, Thu: 10:00 AM - 12:00 PM"
"Momentum Project at Church of God of Prophecy","Food pantry offering an HIV/AIDS diet. 
","","85 East 165th Street","BRONX","NY","10452","(212) 691-8100 x2103","","Mon: 4:00 PM - 7:00 PM; Wed: 11:00 AM - 1:00 PM, 4:00 PM - 7:00 PM"
"Momentum Project at Church of God of Prophecy","Soup kitchen offering an HIV/AIDS diet.","","85 East 165 Street","BRONX","NY","10452","(212) 691-8100 x2103","","Mon: 4:00 PM - 7:00 PM; Wed: 11:00 AM - 1:00 PM, 4:00 PM - 7:00 PM"
"Momentum Project at Lutheran Church of the Risen Christ","Soup kitchen.","","250 Blake Avenue","BROOKLYN","NY","11212","","","Wed: 11:00 AM - 1:30 PM"
"Momentum Project at Lutheran Church of the Risen Christ","Food pantry.","","250 Blake Avenue","BROOKLYN","NY","11212","","","Wed: 11:00 AM - 1:30 PM"
"Momentum Project at St Joseph's Church","Soup kitchen offering an HIV/AIDS diet.","","405 West 125th Street","NEW YORK","NY","10027","(212) 691-8100","","Fri: 3:00 PM - 5:30 PM"
"Momentum Project at St Paul's the Apostle Church","Food pantry offering an HIV/AIDS diet. 
","","405 West 59th Street","NEW YORK","NY","10019","(212) 265-3495","","Wed: 11:30 AM - 12:30 PM, 4:00 PM - 6:30 PM"
"Momentum Project at St Paul's the Apostle Church","Soup kitchen offering an HIV/AIDS diet.","","405 West 59th Street","NEW YORK","NY","10019","(212) 265-3495","","Wed: 11:30 AM - 12:30 PM, 4:00 PM - 6:30 PM"
"Momentum Project at St Peter's Church","Soup kitchen offering an HIV/AIDS diet.","","619 Lexington Avenue","NEW YORK","NY","10022","(212) 691-8100 x2103","","Tue: 11:00 AM - 1:00 PM, 4:00 PM - 7:00 PM"
"Momentum Project at St Peter's Church","Food pantry offering an HIV/AIDS diet. 
","","619 Lexington Avenue","NEW YORK","NY","10022","(212) 691-8100 x2103","","Tue: 11:00 AM - 1:00 PM, 4:00 PM - 7:00 PM"
"Momentum Project at St joseph's Church","Food pantry offering an HIV/AIDS diet. 
","","405 West 125th Street","NEW YORK","NY","10027","(212) 691-8100","","Fri: 3:00 PM - 5:30 PM"
"More Grace Redemptive Center","Food pantry.","","646 Parkside Avenue","BROOKLYN","NY","11226","(718) 693-7074","","Tue: 11:00 AM - 1:00 PM"
"Morris Brown Helping Hand Food Program ","Soup kitchen.","","145-03 Rockaway Boulevard","JAMAICA","NY","11436","(718) 322-7596","","Sat: 1:00 PM - 2:00 PM"
"Morrisania Revitalization Corporation","Food pantry.","","576 East 165th Street","BRONX","NY","10456","(718) 589-7858","","Fri: 10:00 AM - 12:00 PM"
"Mount Horeb Baptist Church","Food pantry. ","","109-20 34th Avenue","CORONA","NY","11368","(718) 639-9066","","Fri: 8:00 AM - 9:30 AM"
"Mount Horeb Baptist Church","Soup kitchen. ","","109-20 34th Avenue","CORONA","NY","11368","(718) 639-9066","","Tue: 12:00 PM - 2:00 PM"
"Mount Olivet Baptist Church Community Meal Program","Food pantry.","","201 Lenox Avenue","NEW YORK","NY","10027","(212) 864-1155","","Tue, Wed: 10:30 AM - 11:30 AM"
"Mount Olivet Food Pantry","Food pantry.","","33-27 97th Street","CORONA","NY","11368","(718) 478-0780","","Wed: 5:30 PM - 6:30 PM"
"Mount Paran Community Development Corp Food Provider I","Food pantry. This location will be closed from Monday, May 2 through Thursday, May 5.","","1665 Broadway ","BROOKLYN","NY","11207","(718) 443-8217","","Tue: 10:30 AM - 11:30 AM"
"Mount Paran Community Development Corp Food Provider II","Soup kitchen. This location will be closed from Monday, May 2 through Thursday, May 5.","","1665 Broadway ","BROOKLYN","NY","11207","(718) 443-8217","","Tue, Wed, Fri: 12:00 PM - 1:00 PM"
"Mount Sinai SDA Church","Food pantry.","","217-10 93rd Avenue","QUEENS VILLAGE","NY","11428","(718) 465-1784","","Wed: 5:00 PM - 7:00 PM"
"Mount Zion African Methodist Episcopal Church Outreach Program","Food pantry. ","","1765 Madison Avenue","NEW YORK","NY","10029","(212) 369-6643","","Fri: 10:00 AM - 11:00 AM"
"Mount Zion African Methodist Episcopal Church Outreach Program","Soup kitchen.","","1765 Madison Avenue","NEW YORK","NY","10029","(212) 369-6643","","Wed: 12:00 PM - 1:00 PM"
"Movement of Pentecostal Christian Church","Food pantry.","","90-92 Summit Street","BROOKLYN","NY","11231","(718) 253-1941","","Sun: 12:30 PM - 2:00 PM"
"National Commission for Jewish Education","Food pantry with kosher food. ","","824 Eastern Parkway","BROOKLYN","NY","11213","(718) 735-0200","","Fri: 12:00 PM - 1:00 PM"
"National Council of Jewish Women","Soup kitchen.","","241 West 72nd Street","NEW YORK","NY","10023","(212) 799-7205","","Sun: 11:30 AM - 12:30 PM; Wed: 5:00 PM - 6:00 PM"
"National Council of Jewish Women","Food pantry.","","241 West 72nd Street","NEW YORK","NY","10023","(212) 799-7205","","Mon: 10:30 PM - 2:00 PM"
"National Sorority of Phi Delta Kappa","Food pantry.","","117-08 Merrick Boulevard","JAMAICA","NY","11434","(718) 723-1119","","Tue, Thu: 4:00 PM - 6:00 PM"
"Nazareth Housing Inc","Food pantry.","","206 East 4th Street","NEW YORK","NY","10009","(212) 477-7017","","Tue: 10:00 AM - 2:00 PM"
"Neighbors Together","Soup kitchen.","","2094 Fulton Street","BROOKLYN","NY","11233","(718) 498-7256","","Mon - Thur: 12:00 PM - 2:00 PM, 4:00 PM - 6:00 PM
Fri: 12:00 PM - 2:00 PM"
"New Alternatives for Children, Inc ","Food pantry.","","37 West 26 Street ","NEW YORK ","NY","10010","(212) 994-7919","","Mon - Fri: 2:00 PM - 5:00 PM"
"New Convenant Community Development","Food pantry.","","1175 Boston Road","BRONX","NY","10456","(718) 328-6072","","Thu: 10:00 AM - 1:00 PM"
"New Life Community Development Corporation","Food pantry.","","82-10 Queens Boulevard ","ELMHURST","NY","11373","(718) 424-0122","","Tue: 6:00 PM - 8:00 PM; Sat: 10:00 AM - 12:00 PM"
"New Life Seventh Day Adventist Church","Food pantry.","","885-87 Thomas Boyland Street","BROOKLYN","NY","11213","(718) 342-1477","","Sun: 8:00 AM - 10:00 AM; Mon: 5:00 PM - 7:00 PM; Tue: 6:00 PM - 8:00 PM
"
"New St John Baptist Church","Food pantry.","","2409 Lorillard Place","BRONX","NY","10458","(718) 220-4148","","Fri: 8:00 AM - 10:00 AM"
"New York City Rescue Mission","Food pantry.","","90 Lafayette Street","NEW YORK","NY","10013","(212) 226-6214","","Mon, Wed, Fri: 1:30 PM - 2:30 PM"
"New York City Rescue Mission","Soup kitchen.","","90 Lafayette Street","NEW YORK","NY","10013","(212) 226-6214","","Mon - Sun: 6:30 AM - 7:00 AM and 5:00 PM - 6:30 PM "
"New York Common Pantry","Soup kitchen.","","8 East 109th Street","NEW YORK","NY","10029","(917) 720-9700","","Mon: 8:00 - 9:30 AM, 4:30 PM - 6:00 PM; Tue: 8:00 AM - 9:30 AM; Wed: 8:00 AM - 9:30 AM, 4:30 PM - 6:00 PM; Thu: 8:00 AM - 9:15 AM; Fri: 8:00 AM - 9:15 AM, 4:30 PM - 6:00 PM"
"New York Common Pantry I","Food pantry.","","8 East 109th Street","NEW YORK","NY","10029","(917) 720-9700","","Wed - Sat: 10:00 AM - 2:30 PM"
"Northeast Brooklyn Department of Social Services","Food pantry.","","376 Throop Avenue ","BROOKLYN","NY","11221","(718) 453-9490","","Tue, Thu: 10:00 AM - 12:00 PM"
"Northeast Conference Community Center Seventh Day Adventist Church","Food pantry.","","99-13 Northern Boulevard","CORONA","NY","11368","(347) 527-2444","","Tue: 12:00 PM - 1:00 PM; Wed: 12:00 PM - 1:00 PM (Seniors Only)"
"One Way Church of Christ","Food pantry.","","216-11 Merrick Boulevard","SPRINGFIELD GARDENS","NY","11413","(718) 525-4260","","Sat: 11:30 AM - 2:00 PM"
"Open Door To Heaven Outreach Ministry Inc","Food pantry. This location is open ONLY every 1st, 2nd, and 3rd Saturday of the month. ","","894 Belmont Avenue","BROOKLYN","NY","11208","(347) 822-0714","","Sat: 12:30 PM - 1:30 PM"
"Other People In Need (OPIN)","Soup kitchen.","","1768 St. Johns Place","BROOKLYN","NY","11233","(718) 498-8845","","Wed: 7:00 PM - 9:00 PM"
"Our Lady of Angels Human Services","Food pantry.","","336 73rd Street","BROOKLYN","NY","11209","(718) 680-6344","","Mon, Wed: 09:30 AM - 1:30 PM "
"Our Lady of Good Counsel Church Staten Island","Food pantry.","","42 Austin Place","STATEN ISLAND","NY","10304","(718) 447-1504","","Sat: 10:00 AM - 11:00 AM"
"Our Lady of Grace Ministry","Food pantry.","","158-10 101st Street","HOWARD BEACH","NY","11414","(718) 845-6635","","Tue, Thu: 10:00 AM - 1:00 PM"
"Our Lady of Grace Parish Ministry","Food pantry. ","","2322 East 4th Street","BROOKLYN","NY","11223","(718) 375-0668","","Mon - Fri: 9:00 AM - 11:30 AM"
"Our Lady of Grace Parish Ministry","Soup kitchen.","","2322 East 4th Street","BROOKLYN","NY","11233","(718) 375-0668","","Wed: 12:00 PM - 12:30 PM; Fri: 9:00 AM - 11:30 AM
"
"Our Lady of Mercy Church","Food pantry.","","680 Mother Gaston Boulevard","BROOKLYN","NY","11212","(718) 346-3166","","Mon, Fri: 9:00 AM - 11:00 AM"
"Our Lady of Miracles - Canarsie Cluster Center","Food pantry.","","757 East 86th Street","BROOKLYN","NY","11236","(718) 257-2400","","Sat: 10:00 AM - 11:30 AM"
"Our Lady of Refuge ","Food pantry.","","290 E 196th Street","BRONX","NY","10458","(718) 367-4690","","Tue, Thu: 9:00 AM - 10:00 AM"
"Our Lady of Refuge Roman Catholic Church ","Food pantry.","","2020 Foster Avenue","BROOKLYN","NY","11210","(718) 434-2090","","Weds: 9:30 AM - 1:00 PM"
"Our Lady of Sorrows","Food pantry. ","","213 Stanton Street","NEW YORK","NY","10002","(212) 673-0900","","Mon, Wed:  11:00 AM - 12:00 PM"
"Park Slope Christian Help","Soup kitchen.","","200 4th Avenue","BROOKLYN","NY","11217","(718) 237-2962","","Mon - Thu: 11:30 AM - 1:00 PM; Sat: 11:30 AM - 2:00 PM"
"Part of the Solution (POTS)","Soup kitchen.","","2759 Webster Avenue","BRONX","NY","10458","(718) 220-4892","","Mon - Sun: 12:30 PM - 3:30 PM"
"Part of the Solution (POTS)","Food pantry.","","2759 Webster Avenue","BRONX","NY","10458","(718) 220-4892","","Mon - Sat: 9:00 AM - 12:00 PM "
"Peniel Haitian Church of the Christian and Missionary Alliance","Food pantry.","","2741 Albermarle Road","BROOKLYN","NY","11226","(718) 469-3685","","Sat: 10:00 AM - 12:00 PM"
"Power Praise and Deliverance Inc.","Food pantry.","","120 East 184 Street","BRONX","NY","10468","(347) 409-0288","","Fri: 2:00 PM - 6:00 PM"
"Project Create - Anthony House","Food pantry. ","","73 Lenox Avenue","NEW YORK","NY","10026","(212) 663-1975","","Wed: 10:00 AM - 12:00 PM"
"Project Hope Charities Inc","This food pantry is open on the 1st and 3rd Thursdays of each month. It will be closed on Saturday, July 4.","","170-20 140th Ave","JAMAICA","NY","11434","(718) 529-0005","","Thur: 5:00 PM - 7:00 PM; Sat: 11:00 AM - 1:00 PM"
"Project Hospitality, Inc","Food pantry.","","514 Bay Street","STATEN ISLAND","NY","10304","(718) 815-0800","","Tue: 9:00 AM - 11:00 AM; 1:00 PM - 3:00 PM, Thu: 9:00 AM - 11:00 AM"
"Project Hospitality, Inc","Soup kitchen.","","514 Bay Street","STATEN ISLAND","NY","10304","(718) 815-0800","","Tue, Thu: 12:00 PM - 1:00 PM"
"Project LEAD","Food pantry with kosher food.","","84-17 Abingdon Road","KEW GARDENS","NY","11415","(718) 495-6210","","Sun: 8:30 AM - 10:30 AM"
"Queens North Family Center","Food pantry.","","23-40 Astoria Boulevard","ASTORIA","NY","11102","(718) 726-9790","","Tue: 9:30 AM - 12:00 PM; Fri: 9:30 AM - 12:00 PM"
"Queensboro Temple Seventh Day Adventist Church ","Non-profit food pantry.","","96-50 222nd Street","QUEENS VILLAGE","NY","11429","(718) 776-8538","","Wed: 3:00 PM - 6:00 PM"
"Quincy Community Service","Food pantry. This location is open on the first and third Saturday of each month, as well as the second and fourth Wednesday of each month.","","84 Quincy Street","BROOKLYN","NY","11238","(718) 638-5227","","Sat, Wed: 9:00 AM - 11:00 AM"
"RHOW Brooklyn Inc","Food pantry. This location is closed on the 1st Saturday of each month.","","360 Schermerhorn Street","BROOKLYN","NY","11217","(718) 875-1858","","Sat: 9:00 AM - 10:30 AM"
"RHOW Brooklyn Inc ","Soup kitchen.","","360 Schermerhorn Street","BROOKLYN","NY","11217","(718) 875-1858","","Mon, Tue, Fri: 9:00 AM - 10:00 AM"
"Rauschenbusch Metro Ministries, Inc","Food pantry. This location is closed on the 5th Saturday of each month.","","410 West 40th Street","NEW YORK","NY","10018","(212) 594-4464","","Sat: 11:00 AM - 11:30 AM "
"Reaching - Out Community Services, Inc","Food pantry.","","7708 New Utrecht Avenue","BROOKLYN","NY","11214","(718) 373-4565","","Mon - Fri: 10:00 AM - 5:00 PM"
"Redeemed Christian Church of God","Food pantry.","","1001-1005 Morris Avenue","BRONX","NY","10456","(718) 293-8996","","Tue: 4:00 PM - 6:00 PM"
"Redeemed Christian Church of God Internal Chapel Food Pantry","Food pantry.","","781 East 93rd Street","BROOKLYN","NY","11236","(347) 955-4403","","Sat: 1:00 PM – 3:00 PM"
"Rescue Ministry or Ministerio Rescate Inc","Food pantry.","","2083 Richmond Terrace","STATEN ISLAND","NY","10302","(718) 448-4454","","Tue: 12:00 AM - 1:00 PM; Thu: 12:00 AM - 1:00 PM"
"Resurrection and Life Pentecostal Church","Food pantry.","","870 East 163rd Street","BRONX","NY","10459","(718) 617-2399","","Tue: 12:00 PM - 1:00 PM; Sat: 10:00 AM - 12:00 PM; Sun: 1:00 PM - 2:00 PM"
"Ridgewood Older Adult Center and Services, Inc ","Non-profit food pantry. This location is closed every first Thursday of the month.","","59-14 70th Avenue","RIDGEWOOD","NY","11385","(718) 456-2000","","Tue: 10:30 AM - 12:30 PM; Wed: 10:30 AM - 12:30 PM (Seniors only); Thu: 10:30 AM - 12:30 PM "
"River Fund","Food pantry. ","","89-11 Lefferts Boulevard ","RICHMOND HILL","NY","11418","(718) 441-1125","","Sat: 8:00 AM - 11:00 AM"
"Riverside Church Food Pantry","Food pantry.","","91 Claremont Avenue","NEW YORK","NY","10027","(212) 870-6760","","Tue - Fri: 09:30 AM - 1:00 PM"
"Rush Temple African Methodist Episcopal Church Food Provider","Food pantry.","","119-48 Sutphin Boulevard","JAMAICA","NY","11434","(718) 529-5719","","Tue: 9:00 AM - 10:00 AM"
"Saint Stephen Outreach, Inc Food Provider","Food pantry.","","874 Myrtle Avenue","BROOKLYN","NY","11206","(718) 938-4532","","Wed, Fri: 9:00 AM - 10:30 AM"
"Saint Stephen Outreach, Inc Food Provider II","Soup kitchen.","","874 Myrtle Avenue","BROOKLYN","NY","11206","(718) 938-4532","","Mon - Fri: 11:00 AM - 1:00 PM"
"Saint Teresa Church - Saint Vincent Depaul Society","Food pantry.","","50-20 45th Street","WOODSIDE","NY","11377","(718) 784-2123","","Tue: 6:00 PM - 7:00 PM"
"Saint Teresa of Avila","Food pantry.","","560 Sterling Place","BROOKLYN","NY","11238","(718) 622-3652","","Thu: 8:00 AM - 11:00 AM"
"Salem United Methodist Church","Soup kitchen.","","2190 Adam Clayton Powell Jr Boulevard","NEW YORK","NY","10026","(212) 278-2700","","Wed: 12:30 PM - 3:00 PM"
"Salem United Methodist Church Food Pantry","Food pantry.","","2190 Adam Clayton Powell Jr Boulevard","NEW YORK","NY","10027","(212) 678-2700","","Fri: 11:00 AM - 1:00 PM"
"Salt and Sea Mission Church","Food pantry. ","","2417-2419 Stillwell Ave","BROOKLYN","NY","11223","(718) 373-3576","","Tues, Thu: 12:00 PM - 2:00 PM"
"Sanctified Church of God, Inc Community Feeding Program ","Non-profit food pantry.","","404 Lefferts Avenue","BROOKLYN","NY","11225","(718) 493-2385","","Sat: 12:00 PM - 1:30 PM"
"Second Chance Deliverance Church, Inc","Food pantry.","","200-12 Hollis Avenue","SAINT ALBANS","NY","11423","(917) 416-3697","","Fri: 12:00 PM – 2:00 PM"
"Second St Paul Church of Christ Disciple of Christ Inc","Food pantry.","","1048 Sutter Avenue","BROOKLYN","NY","11208","(718) 235-8922","","Sat: 10:00 AM - 11:00 AM"
"Sephardic Bikur Holim Food Pantry","Food pantry with kosher food.","","425 Kings Highway","BROOKLYN","NY","11223","(718) 787-1100 x354","","Mon, Wed: 9:00 AM - 12:30 PM; Tue, Thu: 9:00 AM - 12:30 PM, 2:00 PM - 3:30 PM; Fri: 9:00 AM - 11:00 AM "
